id_list,id_message,subject,tags,datetime_first_sending,datetime_last_sending,sendouts,recipients,sent,bounce,successful_deliveries_rate,opens,total_opens,opens_without_images,open_rate,clicks,total_clicks,click_rate,click_to_open_rate,unsubscribed,unsubscription_rate,abuse,share,published,archived,opens_privacy,open_privacy_rate
23,4022,BEAM 2026 is over. Now the real part begins.,[],2026-05-21 17:46:17.163 +0000 UTC,2026-05-21 17:46:17.163 +0000 UTC,1,19,19,0,100.00,17,31,0,89.47,3,3,15.79,17.65,0,0.00,0,0,FALSE,FALSE,9,47.37
23,4019,Thank you for living BEAM 2026 with us!,[],2026-05-20 16:05:25.277 +0000 UTC,2026-05-20 16:05:25.277 +0000 UTC,1,19,19,0,100.00,16,26,0,84.21,2,2,10.53,12.50,0,0.00,0,0,FALSE,FALSE,9,47.37
