id_list,id_message,subject,tags,datetime_first_sending,datetime_last_sending,sendouts,recipients,sent,bounce,successful_deliveries_rate,opens,total_opens,opens_without_images,open_rate,clicks,total_clicks,click_rate,click_to_open_rate,unsubscribed,unsubscription_rate,abuse,share,published,archived,opens_privacy,open_privacy_rate
36,4023,BEAM 2026 ist vorbei. Jetzt geht's erst richtig los.,[],2026-05-21 17:49:09.557 +0000 UTC,2026-05-21 17:49:09.557 +0000 UTC,1,207,207,0,100.00,132,300,18,63.77,40,42,19.32,30.30,1,0.48,0,0,FALSE,FALSE,67,32.37
36,4018,"Danke, dass du BEAM 2026 mit uns erlebt hast!",[],2026-05-20 15:53:17.97 +0000 UTC,2026-05-20 15:53:17.97 +0000 UTC,1,208,207,1,99.52,136,340,19,65.70,49,66,23.67,36.03,0,0.00,0,0,FALSE,FALSE,67,32.37
36,3907,BEAM 2026 nimmt Gestalt an,[],2025-12-16 12:01:20.267 +0000 UTC,2025-12-16 12:01:20.267 +0000 UTC,1,157,150,7,95.54,87,200,10,58.00,23,32,15.33,26.44,1,0.67,0,0,FALSE,FALSE,42,28.00
