"Inizio dei report","Fine dei report","Nome dell'inserzione","Pubblicazione dell'inserzione","Impostazione di attribuzione",Risultati,"Indicatore di risultato",Copertura,Frequenza,"Costo per risultati","Budget del gruppo di inserzioni","Tipo di budget del gruppo di inserzioni","Importo speso (EUR)",Fine,"Valutazione della qualità","Valutazione del tasso di coinvolgimento","Classificazione tasso di conversione",Impression,"CPM (costo per 1000 impression) (EUR)","Clic sul link",shop_clicks,"CPC (costo per clic sul link) (EUR)","CTR (tasso di clic sul link)","Clic (tutti)","CTR (tutti)","CPC (tutti i clic) (EUR)","Visualizzazioni della pagina di destinazione","Costo per visualizzazione della pagina di destinazione (EUR)","Visite al profilo Instagram","Follower di Instagram","Interazione con la Pagina","Acquisto BEAM","Costo per tipo di azione Acquisto BEAM","Inizio acquisto BEAM","Costo per tipo di azione Inizio acquisto BEAM","Lead Report BEAM","Costo per tipo di azione Lead Report BEAM","Nome della campagna","Nome del gruppo di inserzioni"
2025-11-01,2026-05-31,"creative - Copia 4",not_delivering,"7 giorni dal clic, 1 giorno dalla visualizzazione o 1 giorno dalla visualizzazione con interazione",,,674,1.114243,,0.87,Giornaliero,7.88,"In corso",-,-,-,751,10.492676,9,,0.875556,1.198402,11,1.464714,0.716364,7,1.125714,2,1,10,,,,,,,"[MACC] BEAM | Lead | Lead Magnet","HOSPITALITY EN - creative"
2025-11-01,2026-05-31,creative,not_delivering,"7 giorni dal clic, 1 giorno dalla visualizzazione o 1 giorno dalla visualizzazione con interazione",,,57,1.210526,,0.87,Giornaliero,0.46,"In corso",-,-,-,69,6.666667,1,,0.46,1.449275,2,2.898551,0.23,1,0.46,0,0,1,,,,,,,"[MACC] BEAM | Lead | Lead Magnet","HOSPITALITY EN - creative"
2025-11-01,2026-05-31,"creative - Copia 3",not_delivering,"7 giorni dal clic, 1 giorno dalla visualizzazione o 1 giorno dalla visualizzazione con interazione",,,112,1.133929,,0.87,Giornaliero,1.01,"In corso",-,-,-,127,7.952756,1,,1.01,0.787402,2,1.574803,0.505,,,0,0,1,,,,,,,"[MACC] BEAM | Lead | Lead Magnet","HOSPITALITY EN - creative"
2025-11-01,2026-05-31,"creative - Copia 2",not_delivering,"7 giorni dal clic, 1 giorno dalla visualizzazione o 1 giorno dalla visualizzazione con interazione",,,207,1.183575,,0.87,Giornaliero,1.27,"In corso",-,-,-,245,5.183673,11,,0.115455,4.489796,11,4.489796,0.115455,4,0.3175,0,0,11,,,,,,,"[MACC] BEAM | Lead | Lead Magnet","HOSPITALITY EN - creative"
2025-11-01,2026-05-31,"creative - Copia",not_delivering,"7 giorni dal clic, 1 giorno dalla visualizzazione o 1 giorno dalla visualizzazione con interazione",,,203,1.133005,,0.87,Giornaliero,1.08,"In corso",-,-,-,230,4.695652,4,,0.27,1.73913,3,1.304348,0.36,2,0.54,1,0,6,,,,,,,"[MACC] BEAM | Lead | Lead Magnet","HOSPITALITY EN - creative"
2025-11-01,2026-05-31,"creative - Copia 3",not_delivering,"7 giorni dal clic, 1 giorno dalla visualizzazione o 1 giorno dalla visualizzazione con interazione",,,391,1.222506,,0.87,Giornaliero,3.42,"In corso",-,-,-,478,7.154812,5,,0.684,1.046025,8,1.67364,0.4275,3,1.14,0,0,12,,,,,,,"[MACC] BEAM | Lead | Lead Magnet","CALDI EN - creative"
2025-11-01,2026-05-31,"creative - Copia 2",not_delivering,"7 giorni dal clic, 1 giorno dalla visualizzazione o 1 giorno dalla visualizzazione con interazione",3,actions:offsite_conversion.custom.2621245911592027,197,1.187817,0.64666667,0.87,Giornaliero,1.94,"In corso",-,-,-,234,8.290598,6,,0.323333,2.564103,7,2.991453,0.277143,4,0.485,0,0,9,,,,,,,"[MACC] BEAM | Lead | Lead Magnet","CALDI EN - creative"
2025-11-01,2026-05-31,"creative - Copia 4",not_delivering,"7 giorni dal clic, 1 giorno dalla visualizzazione o 1 giorno dalla visualizzazione con interazione",1,actions:offsite_conversion.custom.2621245911592027,757,1.133421,9.3,0.87,Giornaliero,9.3,"In corso",-,-,-,858,10.839161,11,,0.845455,1.282051,13,1.515152,0.715385,7,1.328571,1,0,12,,,,,,,"[MACC] BEAM | Lead | Lead Magnet","CALDI EN - creative"
2025-11-01,2026-05-31,"creative - Copia",not_delivering,"7 giorni dal clic, 1 giorno dalla visualizzazione o 1 giorno dalla visualizzazione con interazione",,,64,1.0625,,0.87,Giornaliero,0.43,"In corso",-,-,-,68,6.323529,,,,,0,0,0,,,0,0,,,,,,,,"[MACC] BEAM | Lead | Lead Magnet","CALDI EN - creative"
2025-11-01,2026-05-31,creative,not_delivering,"7 giorni dal clic, 1 giorno dalla visualizzazione o 1 giorno dalla visualizzazione con interazione",3,actions:offsite_conversion.custom.2621245911592027,199,1.160804,0.61333333,0.87,Giornaliero,1.84,"In corso",-,-,-,231,7.965368,5,,0.368,2.164502,9,3.896104,0.204444,6,0.306667,2,0,7,,,,,,,"[MACC] BEAM | Lead | Lead Magnet","CALDI EN - creative"
